part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
pSrpR,Promoter,,,,,0.00;0.41;0.22,,,,,
RiboJ53,Ribozyme,,,,,0.98;0.64;0.15,,,,,
L3S2P11,Terminator,,,,,0.93;0.18;0.17,,,,,
L3S2P55,Terminator,,,,,0.23;0.66;0.88,,,,,
RiboJ10,Ribozyme,,,,,0.00;0.41;0.22,,,,,
ECK120029600,Terminator,,,,,0.00;0.41;0.22,,,,,
Escar,Scar,,,,,0.00;0.00;0.00,,,,,
SrpR,CDS,,,,,0.00;0.41;0.22,,,,,
RiboJ51,Ribozyme,,,,,0.56;0.78;0.24,,,,,
pBAD,Promoter,,,,,0.00;0.00;0.00,,,,,
A1,RBS,,,,,0.23;0.66;0.88,,,,,
pAmtR,Promoter,,,,,0.23;0.66;0.88,,,,,
Xscar,Scar,,,,,0.00;0.00;0.00,,,,,
LmrA,CDS,,,,,0.94;0.30;0.14,,,,,
PhlF,CDS,,,,,0.98;0.64;0.15,,,,,
Fscar,Scar,,,,,0.00;0.00;0.00,,,,,
RiboJ64,Ribozyme,,,,,0.94;0.30;0.14,,,,,
SarJ,Ribozyme,,,,,0.93;0.18;0.17,,,,,
Cscar,Scar,,,,,0.00;0.00;0.00,,,,,
BM3R1,CDS,,,,,0.93;0.18;0.17,,,,,
ECK120033736,Terminator,,,,,0.56;0.78;0.24,,,,,
P3,RBS,,,,,0.98;0.64;0.15,,,,,
ECK120033737,Terminator,,,,,0.98;0.64;0.15,,,,,
N1,RBS,,,,,0.94;0.30;0.14,,,,,
Vscar,Scar,,,,,0.00;0.00;0.00,,,,,
pTet,Promoter,,,,,0.00;0.00;0.00,,,,,
H1,RBS,,,,,0.56;0.78;0.24,,,,,
pHlyIIR,Promoter,,,,,0.56;0.78;0.24,,,,,
pLmrA,Promoter,,,,,0.94;0.30;0.14,,,,,
B3,RBS,,,,,0.93;0.18;0.17,,,,,
Dscar,Scar,,,,,0.00;0.00;0.00,,,,,
pTac,Promoter,,,,,0.00;0.00;0.00,,,,,
pPhlF,Promoter,,,,,0.98;0.64;0.15,,,,,
Uscar,Scar,,,,,0.00;0.00;0.00,,,,,
AmtR,CDS,,,,,0.23;0.66;0.88,,,,,
ECK120010876,Terminator,,,,,0.94;0.30;0.14,,,,,
HlyIIR,CDS,,,,,0.56;0.78;0.24,,,,,
BydvJ,Ribozyme,,,,,0.23;0.66;0.88,,,,,
S2,RBS,,,,,0.00;0.41;0.22,,,,,
