
   truth table	   fadD	pLuxStar	   pBAD	 galEP2	  BM3R1	   BetI	   AmtR	   PhlF	   PsrA	    YFP	    BFP	    GFP	    RFP	
   [ 0 0 0 0 ]	   0.01	   0.03	   0.01	   0.01	   0.01	   0.11	   3.68	   2.63	   5.88	   0.00	   0.00	   0.04	   2.35	
   [ 0 0 0 1 ]	   2.50	   0.03	   0.01	   0.01	   0.01	   0.08	   3.68	   2.63	   0.25	   0.00	   0.00	   0.03	   0.10	
   [ 0 0 1 0 ]	   0.01	   0.31	   0.01	   0.01	   0.01	   3.80	   3.68	   0.01	   5.88	   0.00	   0.00	   1.52	   2.35	
   [ 0 0 1 1 ]	   2.50	   0.31	   0.01	   0.01	   0.01	   0.12	   3.68	   0.01	   0.25	   0.00	   0.00	   0.05	   0.10	
   [ 0 1 0 0 ]	   0.01	   0.03	   2.50	   0.01	   0.01	   0.11	   3.68	   2.63	   5.88	   1.00	   0.00	   0.04	   2.35	
   [ 0 1 0 1 ]	   2.50	   0.03	   2.50	   0.01	   0.01	   0.08	   3.68	   2.63	   0.25	   1.00	   0.00	   0.03	   0.10	
   [ 0 1 1 0 ]	   0.01	   0.31	   2.50	   0.01	   0.01	   3.80	   3.68	   0.01	   5.88	   1.00	   0.00	   1.52	   2.35	
   [ 0 1 1 1 ]	   2.50	   0.31	   2.50	   0.01	   0.01	   0.12	   3.68	   0.01	   0.25	   1.00	   0.00	   0.05	   0.10	
   [ 1 0 0 0 ]	   0.01	   0.03	   0.01	   2.50	   0.43	   0.11	   0.07	   2.63	   5.88	   0.00	   0.17	   0.04	   2.35	
   [ 1 0 0 1 ]	   2.50	   0.03	   0.01	   2.50	   0.01	   0.08	   0.07	   2.63	   0.25	   0.00	   0.00	   0.03	   0.10	
   [ 1 0 1 0 ]	   0.01	   0.31	   0.01	   2.50	   0.43	   3.80	   0.07	   0.01	   5.88	   0.00	   0.17	   1.52	   2.35	
   [ 1 0 1 1 ]	   2.50	   0.31	   0.01	   2.50	   0.01	   0.12	   0.07	   0.01	   0.25	   0.00	   0.00	   0.05	   0.10	
   [ 1 1 0 0 ]	   0.01	   0.03	   2.50	   2.50	   0.43	   0.11	   0.07	   2.63	   5.88	   1.00	   0.17	   0.04	   2.35	
   [ 1 1 0 1 ]	   2.50	   0.03	   2.50	   2.50	   0.01	   0.08	   0.07	   2.63	   0.25	   1.00	   0.00	   0.03	   0.10	
   [ 1 1 1 0 ]	   0.01	   0.31	   2.50	   2.50	   0.43	   3.80	   0.07	   0.01	   5.88	   1.00	   0.17	   1.52	   2.35	
   [ 1 1 1 1 ]	   2.50	   0.31	   2.50	   2.50	   0.01	   0.12	   0.07	   0.01	   0.25	   1.00	   0.00	   0.05	   0.10	
