   truth table	  BM3R1	   BetI	   AmtR	   PhlF	   PsrA	    circuit	
   [ 0 0 0 0 ]	   1.00	   1.00	   1.00	   0.96	   1.00	       0.96	
   [ 0 0 0 1 ]	   0.99	   1.00	   1.00	   0.96	   1.00	       0.95	
   [ 0 0 1 0 ]	   1.00	   0.99	   1.00	   1.00	   1.00	       0.99	
   [ 0 0 1 1 ]	   0.99	   1.00	   1.00	   1.00	   1.00	       0.99	
   [ 0 1 0 0 ]	   1.00	   1.00	   1.00	   0.96	   1.00	       0.96	
   [ 0 1 0 1 ]	   0.99	   1.00	   1.00	   0.96	   1.00	       0.95	
   [ 0 1 1 0 ]	   1.00	   0.99	   1.00	   1.00	   1.00	       0.99	
   [ 0 1 1 1 ]	   0.99	   1.00	   1.00	   1.00	   1.00	       0.99	
   [ 1 0 0 0 ]	   0.98	   1.00	   0.96	   0.96	   1.00	       0.91	
   [ 1 0 0 1 ]	   1.00	   1.00	   0.96	   0.96	   1.00	       0.93	
   [ 1 0 1 0 ]	   0.98	   0.99	   0.96	   1.00	   1.00	       0.93	
   [ 1 0 1 1 ]	   1.00	   1.00	   0.96	   1.00	   1.00	       0.96	
   [ 1 1 0 0 ]	   0.98	   1.00	   0.96	   0.96	   1.00	       0.91	
   [ 1 1 0 1 ]	   1.00	   1.00	   0.96	   0.96	   1.00	       0.93	
   [ 1 1 1 0 ]	   0.98	   0.99	   0.96	   1.00	   1.00	       0.93	
   [ 1 1 1 1 ]	   1.00	   1.00	   0.96	   1.00	   1.00	       0.96	
