part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
RiboJ53,Ribozyme,,,,,0.98;0.64;0.15,,,,,
L3S2P55,Terminator,,,,,0.23;0.66;0.88,,,,,
RiboJ54,Ribozyme,,,,,0.44;0.80;0.88,,,,,
Escar,Scar,,,,,0.00;0.00;0.00,,,,,
AmeR,CDS,,,,,0.44;0.80;0.88,,,,,
RiboJ51,Ribozyme,,,,,0.56;0.78;0.24,,,,,
ScmJ,Ribozyme,,,,,0.76;0.29;0.61,,,,,
ECK120015440,Terminator,,,,,0.76;0.29;0.61,,,,,
A1,RBS,,,,,0.23;0.66;0.88,,,,,
Xscar,Scar,,,,,0.00;0.00;0.00,,,,,
PsrA,CDS,,,,,0.76;0.29;0.61,,,,,
PhlF,CDS,,,,,0.98;0.64;0.15,,,,,
Fscar,Scar,,,,,0.00;0.00;0.00,,,,,
galEP2,Promoter,,,,,0.00;0.00;0.00,,,,,
R1,RBS,,,,,0.76;0.29;0.61,,,,,
P1,RBS,,,,,0.98;0.64;0.15,,,,,
Cscar,Scar,,,,,0.00;0.00;0.00,,,,,
ECK120033736,Terminator,,,,,0.56;0.78;0.24,,,,,
ECK120033737,Terminator,,,,,0.98;0.64;0.15,,,,,
Vscar,Scar,,,,,0.00;0.00;0.00,,,,,
H1,RBS,,,,,0.56;0.78;0.24,,,,,
F1,RBS,,,,,0.44;0.80;0.88,,,,,
L3S3P31,Terminator,,,,,0.44;0.80;0.88,,,,,
pHlyIIR,Promoter,,,,,0.56;0.78;0.24,,,,,
pPhlF,Promoter,,,,,0.98;0.64;0.15,,,,,
fadD,Promoter,,,,,0.00;0.00;0.00,,,,,
Uscar,Scar,,,,,0.00;0.00;0.00,,,,,
AmtR,CDS,,,,,0.23;0.66;0.88,,,,,
pLuxStar,Promoter,,,,,0.00;0.00;0.00,,,,,
HlyIIR,CDS,,,,,0.56;0.78;0.24,,,,,
BydvJ,Ribozyme,,,,,0.23;0.66;0.88,,,,,
