
   truth table	   fadD	pLuxStar	   pBAD	 galEP2	   PsrA	   AmeR	 HlyIIR	   PhlF	   AmtR	    YFP	    BFP	    GFP	    RFP	
   [ 0 0 0 0 ]	   0.01	   0.03	   0.01	   0.01	   0.25	   0.23	   2.50	   2.63	   3.68	   0.00	   0.10	   0.09	   1.47	
   [ 0 0 0 1 ]	   2.50	   0.03	   0.01	   0.01	   0.22	   0.21	   2.50	   2.63	   0.07	   0.00	   0.09	   0.08	   0.03	
   [ 0 0 1 0 ]	   0.01	   0.31	   0.01	   0.01	   0.25	   3.44	   2.50	   0.01	   3.68	   0.00	   0.10	   1.38	   1.47	
   [ 0 0 1 1 ]	   2.50	   0.31	   0.01	   0.01	   0.22	   0.23	   2.50	   0.01	   0.07	   0.00	   0.09	   0.09	   0.03	
   [ 0 1 0 0 ]	   0.01	   0.03	   2.50	   0.01	   0.25	   0.23	   2.50	   2.63	   3.68	   1.00	   0.10	   0.09	   1.47	
   [ 0 1 0 1 ]	   2.50	   0.03	   2.50	   0.01	   0.22	   0.21	   2.50	   2.63	   0.07	   1.00	   0.09	   0.08	   0.03	
   [ 0 1 1 0 ]	   0.01	   0.31	   2.50	   0.01	   0.25	   3.44	   2.50	   0.01	   3.68	   1.00	   0.10	   1.38	   1.47	
   [ 0 1 1 1 ]	   2.50	   0.31	   2.50	   0.01	   0.22	   0.23	   2.50	   0.01	   0.07	   1.00	   0.09	   0.09	   0.03	
   [ 1 0 0 0 ]	   0.01	   0.03	   0.01	   2.50	   4.89	   0.23	   0.07	   2.63	   3.68	   0.00	   1.95	   0.09	   1.47	
   [ 1 0 0 1 ]	   2.50	   0.03	   0.01	   2.50	   0.25	   0.21	   0.07	   2.63	   0.07	   0.00	   0.10	   0.08	   0.03	
   [ 1 0 1 0 ]	   0.01	   0.31	   0.01	   2.50	   4.89	   3.44	   0.07	   0.01	   3.68	   0.00	   1.95	   1.38	   1.47	
   [ 1 0 1 1 ]	   2.50	   0.31	   0.01	   2.50	   0.25	   0.23	   0.07	   0.01	   0.07	   0.00	   0.10	   0.09	   0.03	
   [ 1 1 0 0 ]	   0.01	   0.03	   2.50	   2.50	   4.89	   0.23	   0.07	   2.63	   3.68	   1.00	   1.95	   0.09	   1.47	
   [ 1 1 0 1 ]	   2.50	   0.03	   2.50	   2.50	   0.25	   0.21	   0.07	   2.63	   0.07	   1.00	   0.10	   0.08	   0.03	
   [ 1 1 1 0 ]	   0.01	   0.31	   2.50	   2.50	   4.89	   3.44	   0.07	   0.01	   3.68	   1.00	   1.95	   1.38	   1.47	
   [ 1 1 1 1 ]	   2.50	   0.31	   2.50	   2.50	   0.25	   0.23	   0.07	   0.01	   0.07	   1.00	   0.10	   0.09	   0.03	
