   truth table	   PsrA	   AmeR	 HlyIIR	   PhlF	   AmtR	    circuit	
   [ 0 0 0 0 ]	   1.00	   0.99	   1.00	   0.96	   1.00	       0.95	
   [ 0 0 0 1 ]	   1.00	   0.94	   1.00	   0.96	   0.96	       0.87	
   [ 0 0 1 0 ]	   1.00	   1.00	   1.00	   1.00	   1.00	       1.00	
   [ 0 0 1 1 ]	   1.00	   0.99	   1.00	   1.00	   0.96	       0.96	
   [ 0 1 0 0 ]	   1.00	   0.99	   1.00	   0.96	   1.00	       0.95	
   [ 0 1 0 1 ]	   1.00	   0.94	   1.00	   0.96	   0.96	       0.87	
   [ 0 1 1 0 ]	   1.00	   1.00	   1.00	   1.00	   1.00	       1.00	
   [ 0 1 1 1 ]	   1.00	   0.99	   1.00	   1.00	   0.96	       0.96	
   [ 1 0 0 0 ]	   1.00	   0.99	   1.00	   0.96	   1.00	       0.95	
   [ 1 0 0 1 ]	   1.00	   0.94	   1.00	   0.96	   0.96	       0.87	
   [ 1 0 1 0 ]	   1.00	   1.00	   1.00	   1.00	   1.00	       1.00	
   [ 1 0 1 1 ]	   1.00	   0.99	   1.00	   1.00	   0.96	       0.96	
   [ 1 1 0 0 ]	   1.00	   0.99	   1.00	   0.96	   1.00	       0.95	
   [ 1 1 0 1 ]	   1.00	   0.94	   1.00	   0.96	   0.96	       0.87	
   [ 1 1 1 0 ]	   1.00	   1.00	   1.00	   1.00	   1.00	       1.00	
   [ 1 1 1 1 ]	   1.00	   0.99	   1.00	   1.00	   0.96	       0.96	
