   truth table	   SrpR	  BM3R1	 HlyIIR	   PhlF	   AmtR	    circuit	
   [ 0 0 0 0 ]	   0.95	   1.00	   1.00	   0.96	   1.00	       0.92	
   [ 0 0 0 1 ]	   0.93	   0.99	   1.00	   0.96	   0.96	       0.85	
   [ 0 0 1 0 ]	   0.95	   1.00	   1.00	   1.00	   1.00	       0.95	
   [ 0 0 1 1 ]	   0.93	   1.00	   1.00	   1.00	   0.96	       0.89	
   [ 0 1 0 0 ]	   0.95	   1.00	   1.00	   0.96	   1.00	       0.92	
   [ 0 1 0 1 ]	   0.93	   0.99	   1.00	   0.96	   0.96	       0.85	
   [ 0 1 1 0 ]	   0.95	   1.00	   1.00	   1.00	   1.00	       0.95	
   [ 0 1 1 1 ]	   0.93	   1.00	   1.00	   1.00	   0.96	       0.89	
   [ 1 0 0 0 ]	   1.00	   1.00	   1.00	   0.96	   1.00	       0.96	
   [ 1 0 0 1 ]	   0.95	   0.99	   1.00	   0.96	   0.96	       0.87	
   [ 1 0 1 0 ]	   1.00	   1.00	   1.00	   1.00	   1.00	       1.00	
   [ 1 0 1 1 ]	   0.95	   1.00	   1.00	   1.00	   0.96	       0.91	
   [ 1 1 0 0 ]	   1.00	   1.00	   1.00	   0.96	   1.00	       0.96	
   [ 1 1 0 1 ]	   0.95	   0.99	   1.00	   0.96	   0.96	       0.87	
   [ 1 1 1 0 ]	   1.00	   1.00	   1.00	   1.00	   1.00	       1.00	
   [ 1 1 1 1 ]	   0.95	   1.00	   1.00	   1.00	   0.96	       0.91	
