   truth table	  BM3R1	   SrpR	 HlyIIR	   PhlF	   AmtR	    circuit	
   [ 0 0 0 0 ]	   1.00	   0.95	   1.00	   0.96	   1.00	       0.91	
   [ 0 0 0 1 ]	   0.99	   0.93	   1.00	   0.96	   0.96	       0.85	
   [ 0 0 1 0 ]	   1.00	   1.00	   1.00	   1.00	   1.00	       1.00	
   [ 0 0 1 1 ]	   0.99	   0.95	   1.00	   1.00	   0.96	       0.91	
   [ 0 1 0 0 ]	   1.00	   0.95	   1.00	   0.96	   1.00	       0.91	
   [ 0 1 0 1 ]	   0.99	   0.93	   1.00	   0.96	   0.96	       0.85	
   [ 0 1 1 0 ]	   1.00	   1.00	   1.00	   1.00	   1.00	       1.00	
   [ 0 1 1 1 ]	   0.99	   0.95	   1.00	   1.00	   0.96	       0.91	
   [ 1 0 0 0 ]	   0.98	   0.95	   1.00	   0.96	   1.00	       0.89	
   [ 1 0 0 1 ]	   1.00	   0.93	   1.00	   0.96	   0.96	       0.86	
   [ 1 0 1 0 ]	   0.98	   1.00	   1.00	   1.00	   1.00	       0.98	
   [ 1 0 1 1 ]	   1.00	   0.95	   1.00	   1.00	   0.96	       0.92	
   [ 1 1 0 0 ]	   0.98	   0.95	   1.00	   0.96	   1.00	       0.89	
   [ 1 1 0 1 ]	   1.00	   0.93	   1.00	   0.96	   0.96	       0.86	
   [ 1 1 1 0 ]	   0.98	   1.00	   1.00	   1.00	   1.00	       0.98	
   [ 1 1 1 1 ]	   1.00	   0.95	   1.00	   1.00	   0.96	       0.92	
